voted_date,Neighborhood,Council,SBD,age_code,Age4,Age2,gender_code,party_code,days_out,VOTER_ID,Year
2017-09-26,Bear Valley,2,2,10,4,2,1,1,42 days,1,2017
2017-09-26,Berkeley,1,5,4,2,1,1,1,42 days,1,2017
2017-09-26,Capitol Hill,10,3,3,1,1,2,2,42 days,1,2017
2017-09-26,Capitol Hill,10,3,6,2,1,2,2,42 days,1,2017
2017-09-26,Capitol Hill,10,3,7,3,2,2,1,42 days,1,2017
2017-09-26,Cheesman Park,10,3,5,2,1,2,1,42 days,1,2017
2017-09-26,City Park,9,4,2,1,1,2,1,42 days,1,2017
2017-09-26,Congress Park,10,3,4,2,1,1,1,42 days,1,2017
2017-09-26,Five Points,9,5,9,3,2,1,1,42 days,1,2017
2017-09-26,Highland,1,5,8,3,2,1,3,42 days,1,2017
2017-09-26,Speer,7,5,2,1,1,1,1,42 days,1,2017
2017-09-26,Speer,7,5,10,4,2,1,1,42 days,1,2017
2017-09-26,Washington Park,6,1,5,2,1,2,1,42 days,1,2017
2017-09-26,Washington Park West,7,1,3,1,1,1,2,42 days,1,2017
2017-09-26,Wellshire,4,1,9,3,2,2,2,42 days,1,2017
2017-09-26,Wellshire,4,1,11,4,2,2,1,42 days,1,2017
2017-09-26,Whittier,9,4,3,1,1,1,2,42 days,1,2017
2017-09-27,CBD,9,5,4,2,1,2,1,41 days,1,2017
2017-09-29,Rosedale,6,1,3,1,1,2,1,39 days,1,2017
2017-10-02,CBD,9,5,3,1,1,1,1,36 days,1,2017
2017-10-02,Cheesman Park,10,3,2,1,1,2,1,36 days,1,2017
2017-10-02,Country Club,10,3,9,3,2,1,2,36 days,1,2017
2017-10-02,Hampden South,4,1,4,2,1,2,2,36 days,1,2017
2017-10-02,Montclair,5,3,10,4,2,1,2,36 days,1,2017
2017-10-02,Sloan Lake,1,5,4,2,1,1,2,36 days,1,2017
2017-10-03,Hilltop,5,3,2,1,1,1,2,35 days,1,2017
2017-10-03,Montclair,5,3,9,3,2,2,1,35 days,1,2017
2017-10-03,University,6,1,8,3,2,1,1,35 days,1,2017
2017-10-04,Capitol Hill,10,3,11,4,2,1,1,34 days,1,2017
2017-10-04,Hilltop,5,3,11,4,2,1,2,34 days,1,2017
2017-10-04,Speer,7,1,3,1,1,1,2,34 days,1,2017
2017-10-04,Washington Park West,7,1,3,1,1,1,1,34 days,1,2017
2017-10-05,Athmar Park,7,2,10,4,2,1,1,33 days,1,2017
2017-10-05,Belcaro,6,1,3,1,1,1,3,33 days,1,2017
2017-10-05,Capitol Hill,10,3,11,4,2,2,2,33 days,1,2017
2017-10-05,Chaffee Park,1,5,3,1,1,1,2,33 days,1,2017
2017-10-05,Cheesman Park,10,3,3,1,1,1,2,33 days,1,2017
2017-10-05,City Park,9,4,8,3,2,1,2,33 days,1,2017
2017-10-05,Congress Park,10,3,3,1,1,1,4,33 days,1,2017
2017-10-05,Congress Park,10,3,10,4,2,1,1,33 days,1,2017
2017-10-05,East Colfax,5,3,3,1,1,1,2,33 days,1,2017
2017-10-05,Five Points,9,4,2,1,1,1,1,33 days,1,2017
2017-10-05,Five Points,9,5,2,1,1,1,2,33 days,1,2017
2017-10-05,Gateway / Green Valley Ranch,11,4,4,2,1,1,3,33 days,1,2017
2017-10-05,Gateway / Green Valley Ranch,11,4,4,2,1,2,3,33 days,1,2017
2017-10-05,Hampden South,4,1,4,2,1,2,3,33 days,1,2017
2017-10-05,Harvey Park South,2,2,3,1,1,1,1,33 days,1,2017
2017-10-05,Lincoln Park,3,5,3,1,1,2,1,33 days,1,2017
2017-10-05,Marston,2,2,6,2,1,2,3,33 days,1,2017
2017-10-05,Marston,2,2,11,4,2,1,1,33 days,1,2017
2017-10-05,South Park Hill,8,3,2,1,1,1,1,33 days,1,2017
2017-10-05,Washington Park West,7,1,10,4,2,2,1,33 days,1,2017
2017-10-05,Washington Virginia Vale,5,3,4,2,1,1,2,33 days,1,2017
2017-10-05,Washington Virginia Vale,6,3,11,4,2,1,2,33 days,1,2017
2017-10-05,Washington Virginia Vale,6,3,11,4,2,2,2,33 days,1,2017
2017-10-06,University,6,1,5,2,1,1,1,32 days,1,2017
2017-10-06,University,6,1,9,3,2,1,1,32 days,1,2017
2017-10-06,Windsor,5,3,5,2,1,2,1,32 days,1,2017
2017-10-09,Capitol Hill,10,3,5,2,1,1,2,29 days,1,2017
2017-10-09,Cheesman Park,10,3,5,2,1,1,2,29 days,1,2017
2017-10-09,Hale,5,3,2,1,1,2,1,29 days,1,2017
2017-10-09,Highland,1,5,4,2,1,1,2,29 days,1,2017
2017-10-10,Bear Valley,2,2,2,1,1,1,4,28 days,1,2017
2017-10-10,Berkeley,1,5,2,1,1,1,4,28 days,1,2017
2017-10-10,Berkeley,1,5,10,4,2,1,1,28 days,1,2017
2017-10-10,Platt Park,7,1,8,3,2,1,2,28 days,1,2017
2017-10-11,Athmar Park,7,2,11,4,2,2,1,27 days,1,2017
2017-10-11,Auraria,9,5,10,4,2,2,1,27 days,1,2017
2017-10-11,Auraria,9,5,11,4,2,1,1,27 days,1,2017
2017-10-11,Belcaro,6,1,3,1,1,2,1,27 days,1,2017
2017-10-11,Belcaro,6,1,5,2,1,1,1,27 days,1,2017
2017-10-11,Belcaro,10,1,6,2,1,1,2,27 days,1,2017
2017-10-11,Capitol Hill,10,3,10,4,2,1,2,27 days,1,2017
2017-10-11,Cheesman Park,10,3,7,3,2,2,2,27 days,1,2017
2017-10-11,Congress Park,10,3,10,4,2,1,1,27 days,1,2017
2017-10-11,Congress Park,10,3,10,4,2,2,1,27 days,1,2017
2017-10-11,Country Club,10,3,10,4,2,2,1,27 days,1,2017
2017-10-11,Country Club,10,3,11,4,2,1,1,27 days,1,2017
2017-10-11,Fort Logan,2,2,5,2,1,1,2,27 days,1,2017
2017-10-11,Fort Logan,2,2,11,4,2,1,1,27 days,1,2017
2017-10-11,Gateway / Green Valley Ranch,11,4,9,3,2,2,1,27 days,1,2017
2017-10-11,Gateway / Green Valley Ranch,11,4,10,4,2,2,3,27 days,1,2017
2017-10-11,Gateway / Green Valley Ranch,11,4,11,4,2,1,3,27 days,1,2017
2017-10-11,Goldsmith,4,1,7,3,2,2,1,27 days,1,2017
2017-10-11,Hampden,4,1,9,3,2,2,2,27 days,1,2017
2017-10-11,Hampden South,4,1,6,2,1,2,1,27 days,1,2017
2017-10-11,Highland,1,5,9,3,2,2,1,27 days,1,2017
2017-10-11,Hilltop,5,3,7,3,2,2,1,27 days,1,2017
2017-10-11,Indian Creek,6,1,4,2,1,1,2,27 days,1,2017
2017-10-11,Kennedy,4,1,8,3,2,2,3,27 days,1,2017
2017-10-11,Lowry Field,5,3,3,1,1,1,1,27 days,1,2017
2017-10-11,Lowry Field,5,3,5,2,1,1,3,27 days,1,2017
2017-10-11,Marston,2,2,4,2,1,2,3,27 days,1,2017
2017-10-11,Marston,2,2,9,3,2,2,1,27 days,1,2017
2017-10-11,North Park Hill,8,4,4,2,1,2,2,27 days,1,2017
2017-10-11,Regis,1,5,10,4,2,1,1,27 days,1,2017
2017-10-11,Regis,1,5,10,4,2,2,1,27 days,1,2017
2017-10-11,Southmoor Park,4,1,2,1,1,1,1,27 days,1,2017
2017-10-11,Speer,10,5,9,3,2,1,1,27 days,1,2017
2017-10-11,Washington Park,6,1,9,3,2,1,1,27 days,1,2017
2017-10-11,Washington Virginia Vale,5,3,5,2,1,1,3,27 days,1,2017
2017-10-11,Windsor,5,3,3,1,1,1,4,27 days,1,2017
2017-10-12,CBD,9,5,11,4,2,2,1,26 days,1,2017
2017-10-12,Capitol Hill,10,3,9,3,2,1,2,26 days,1,2017
2017-10-12,South Park Hill,8,3,9,3,2,1,3,26 days,1,2017
2017-10-16,Baker,7,5,8,3,2,1,2,22 days,1,2017
2017-10-16,Cory Merrill,6,1,4,2,1,1,2,22 days,1,2017
2017-10-16,Five Points,9,5,9,3,2,2,1,22 days,1,2017
2017-10-16,Five Points,9,5,10,4,2,1,1,22 days,1,2017
2017-10-16,Hilltop,5,3,10,4,2,1,1,22 days,1,2017
2017-10-16,West Colfax,3,5,1,1,1,1,1,22 days,1,2017
2017-10-17,Cory Merrill,6,1,5,2,1,2,1,21 days,1,2017
2017-10-17,Hampden South,4,1,10,4,2,2,1,21 days,1,2017
2017-10-17,Hampden South,4,1,11,4,2,1,1,21 days,2,2017
2017-10-17,Highland,1,5,8,3,2,1,1,21 days,1,2017
2017-10-17,Highland,1,5,9,3,2,1,2,21 days,1,2017
2017-10-17,Highland,1,5,9,3,2,2,1,21 days,1,2017
2017-10-17,Hilltop,5,3,11,4,2,1,1,21 days,3,2017
2017-10-17,Hilltop,5,3,11,4,2,2,1,21 days,3,2017
2017-10-17,Hilltop,5,3,11,4,2,2,3,21 days,2,2017
2017-10-17,Sloan Lake,1,5,3,1,1,1,2,21 days,1,2017
2017-10-17,Sloan Lake,1,5,11,4,2,1,1,21 days,1,2017
2017-10-17,South Park Hill,8,3,10,4,2,2,1,21 days,1,2017
2017-10-17,Southmoor Park,4,1,3,1,1,2,1,21 days,1,2017
2017-10-17,Southmoor Park,4,1,10,4,2,2,1,21 days,1,2017
2017-10-17,Speer,10,3,4,2,1,1,3,21 days,1,2017
2017-10-17,Speer,10,3,9,3,2,2,1,21 days,1,2017
2017-10-17,University,6,1,11,4,2,2,2,21 days,1,2017
2017-10-17,University Park,6,1,8,3,2,2,1,21 days,1,2017
2017-10-17,Washington Virginia Vale,5,3,10,4,2,1,1,21 days,1,2017
2017-10-17,Washington Virginia Vale,5,3,11,4,2,2,3,21 days,1,2017
2017-10-17,Wellshire,4,1,2,1,1,2,3,21 days,1,2017
2017-10-17,West Highland,1,5,5,2,1,1,1,21 days,1,2017
2017-10-17,West Highland,1,5,9,3,2,1,2,21 days,1,2017
2017-10-18,Baker,7,5,4,2,1,1,1,20 days,1,2017
2017-10-18,Berkeley,1,5,11,4,2,2,1,20 days,1,2017
2017-10-18,Chaffee Park,1,5,11,4,2,2,3,20 days,1,2017
2017-10-18,Cheesman Park,10,3,2,1,1,2,2,20 days,1,2017
2017-10-18,Cheesman Park,10,3,6,2,1,1,2,20 days,1,2017
2017-10-18,Cheesman Park,10,3,11,4,2,2,1,20 days,1,2017
2017-10-18,Cherry Creek,10,3,9,3,2,1,2,20 days,1,2017
2017-10-18,Cherry Creek,10,3,10,4,2,2,2,20 days,1,2017
2017-10-18,City Park,9,4,8,3,2,1,2,20 days,1,2017
2017-10-18,Cole,9,4,11,4,2,2,1,20 days,1,2017
2017-10-18,College View / South Platte,7,2,9,3,2,2,1,20 days,1,2017
2017-10-18,Congress Park,10,3,2,1,1,2,1,20 days,1,2017
2017-10-18,Congress Park,10,3,3,1,1,1,2,20 days,1,2017
2017-10-18,Congress Park,10,3,5,2,1,1,1,20 days,1,2017
2017-10-18,Congress Park,10,3,10,4,2,1,2,20 days,1,2017
2017-10-18,Cory Merrill,6,1,10,4,2,1,2,20 days,1,2017
2017-10-18,Country Club,10,3,4,2,1,1,1,20 days,1,2017
2017-10-18,Country Club,10,3,10,4,2,2,1,20 days,1,2017
2017-10-18,Five Points,9,3,3,1,1,2,2,20 days,1,2017
2017-10-18,Five Points,9,5,11,4,2,2,1,20 days,1,2017
2017-10-18,Fort Logan,2,2,3,1,1,2,2,20 days,1,2017
2017-10-18,Fort Logan,2,2,3,1,1,2,3,20 days,1,2017
2017-10-18,Fort Logan,2,2,7,3,2,1,1,20 days,1,2017
2017-10-18,Fort Logan,2,2,7,3,2,1,2,20 days,1,2017
2017-10-18,Fort Logan,2,2,7,3,2,2,3,20 days,1,2017
2017-10-18,Fort Logan,2,2,8,3,2,1,1,20 days,1,2017
2017-10-18,Fort Logan,2,2,8,3,2,2,1,20 days,1,2017
2017-10-18,Fort Logan,2,2,10,4,2,2,1,20 days,1,2017
2017-10-18,Fort Logan,2,2,10,4,2,2,2,20 days,2,2017
2017-10-18,Fort Logan,2,2,11,4,2,1,1,20 days,1,2017
2017-10-18,Fort Logan,2,2,11,4,2,1,2,20 days,2,2017
2017-10-18,Fort Logan,2,2,11,4,2,2,2,20 days,2,2017
2017-10-18,Fort Logan,2,2,11,4,2,2,3,20 days,2,2017
2017-10-18,Gateway / Green Valley Ranch,11,4,9,3,2,1,2,20 days,1,2017
2017-10-18,Hale,5,3,4,2,1,2,1,20 days,1,2017
2017-10-18,Hale,5,3,11,4,2,2,3,20 days,1,2017
2017-10-18,Hampden,4,1,10,4,2,1,1,20 days,1,2017
2017-10-18,Hampden South,4,1,11,4,2,1,3,20 days,1,2017
2017-10-18,Indian Creek,6,1,5,2,1,2,4,20 days,1,2017
2017-10-18,Mar Lee,2,2,9,3,2,2,3,20 days,1,2017
2017-10-18,Mar Lee,2,2,11,4,2,1,1,20 days,1,2017
2017-10-18,Mar Lee,3,2,8,3,2,2,3,20 days,1,2017
2017-10-18,North Capitol Hill,10,3,3,1,1,1,2,20 days,1,2017
2017-10-18,North Capitol Hill,10,3,10,4,2,2,1,20 days,1,2017
2017-10-18,Northeast Park Hill,8,4,11,4,2,1,1,20 days,1,2017
2017-10-18,Regis,1,5,11,4,2,1,2,20 days,1,2017
2017-10-18,Sloan Lake,1,5,8,3,2,2,1,20 days,1,2017
2017-10-18,Sloan Lake,1,5,11,4,2,2,1,20 days,1,2017
2017-10-18,South Park Hill,8,3,7,3,2,1,2,20 days,1,2017
2017-10-18,Speer,7,1,7,3,2,1,2,20 days,1,2017
2017-10-18,Speer,10,3,11,4,2,1,1,20 days,1,2017
2017-10-18,Union Station,9,5,6,2,1,1,3,20 days,1,2017
2017-10-18,Union Station,9,5,11,4,2,2,1,20 days,1,2017
2017-10-18,University,6,1,9,3,2,2,1,20 days,1,2017
2017-10-18,University Hills,4,1,10,4,2,2,1,20 days,1,2017
2017-10-18,Villa Park,3,5,8,3,2,2,1,20 days,1,2017
2017-10-18,Virginia Village,6,1,10,4,2,1,1,20 days,1,2017
2017-10-18,Virginia Village,6,1,10,4,2,1,2,20 days,1,2017
2017-10-18,Virginia Village,6,1,11,4,2,2,1,20 days,1,2017
2017-10-18,Washington Park,6,1,11,4,2,2,2,20 days,1,2017
2017-10-18,Washington Virginia Vale,5,3,10,4,2,1,2,20 days,1,2017
2017-10-18,Washington Virginia Vale,5,3,11,4,2,2,1,20 days,1,2017
2017-10-18,Wellshire,4,1,5,2,1,2,3,20 days,1,2017
2017-10-18,West Highland,1,5,4,2,1,1,1,20 days,1,2017
2017-10-18,West Highland,1,5,5,2,1,2,1,20 days,1,2017
2017-10-18,Westwood,3,2,11,4,2,1,1,20 days,1,2017
2017-10-18,Whittier,9,4,1,1,1,1,1,20 days,1,2017
2017-10-18,Windsor,5,3,10,4,2,1,1,20 days,1,2017
2017-10-18,Windsor,5,3,11,4,2,2,1,20 days,2,2017
2017-10-19,Athmar Park,7,2,4,2,1,1,1,19 days,1,2017
2017-10-19,Athmar Park,7,2,4,2,1,1,2,19 days,1,2017
2017-10-19,Athmar Park,7,2,5,2,1,2,2,19 days,1,2017
2017-10-19,Athmar Park,7,2,8,3,2,1,2,19 days,1,2017
2017-10-19,Athmar Park,7,2,8,3,2,2,1,19 days,1,2017
2017-10-19,Athmar Park,7,2,10,4,2,1,2,19 days,1,2017
2017-10-19,Athmar Park,7,2,10,4,2,1,3,19 days,1,2017
2017-10-19,Athmar Park,7,2,11,4,2,1,1,19 days,1,2017
2017-10-19,Auraria,9,5,3,1,1,1,1,19 days,1,2017
2017-10-19,Auraria,9,5,6,2,1,2,1,19 days,1,2017
2017-10-19,Baker,7,5,5,2,1,2,1,19 days,1,2017
2017-10-19,Barnum West,3,2,1,1,1,2,1,19 days,1,2017
2017-10-19,Barnum West,3,2,8,3,2,2,1,19 days,1,2017
2017-10-19,Barnum West,3,2,11,4,2,1,1,19 days,1,2017
2017-10-19,Barnum West,3,2,11,4,2,2,1,19 days,1,2017
2017-10-19,Bear Valley,2,2,11,4,2,2,1,19 days,1,2017
2017-10-19,Belcaro,6,1,5,2,1,2,1,19 days,1,2017
2017-10-19,Belcaro,10,1,3,1,1,1,2,19 days,1,2017
2017-10-19,Belcaro,10,1,11,4,2,1,1,19 days,1,2017
2017-10-19,Berkeley,1,5,2,1,1,1,1,19 days,1,2017
2017-10-19,Berkeley,1,5,9,3,2,1,1,19 days,1,2017
2017-10-19,CBD,9,5,11,4,2,1,1,19 days,1,2017
2017-10-19,Capitol Hill,10,3,3,1,1,1,2,19 days,1,2017
2017-10-19,Capitol Hill,10,3,9,3,2,1,2,19 days,1,2017
2017-10-19,Central Park,8,4,3,1,1,2,1,19 days,1,2017
2017-10-19,Central Park,8,4,5,2,1,1,1,19 days,1,2017
2017-10-19,Chaffee Park,1,5,1,1,1,1,1,19 days,1,2017
2017-10-19,Chaffee Park,1,5,1,1,1,1,3,19 days,1,2017
2017-10-19,Chaffee Park,1,5,4,2,1,2,1,19 days,1,2017
2017-10-19,Chaffee Park,1,5,5,2,1,1,1,19 days,1,2017
2017-10-19,Chaffee Park,1,5,8,3,2,2,2,19 days,1,2017
2017-10-19,Chaffee Park,1,5,9,3,2,1,2,19 days,1,2017
2017-10-19,Chaffee Park,1,5,9,3,2,2,2,19 days,1,2017
2017-10-19,Chaffee Park,1,5,10,4,2,1,1,19 days,1,2017
2017-10-19,Chaffee Park,1,5,11,4,2,1,1,19 days,2,2017
2017-10-19,Chaffee Park,1,5,11,4,2,2,1,19 days,1,2017
2017-10-19,Cheesman Park,10,3,1,1,1,2,3,19 days,1,2017
2017-10-19,Cheesman Park,10,3,4,2,1,1,1,19 days,1,2017
2017-10-19,Cheesman Park,10,3,7,3,2,2,2,19 days,1,2017
2017-10-19,Cheesman Park,10,3,9,3,2,2,1,19 days,1,2017
2017-10-19,Cheesman Park,10,3,11,4,2,1,1,19 days,2,2017
2017-10-19,Cheesman Park,10,3,11,4,2,1,2,19 days,1,2017
2017-10-19,Cheesman Park,10,3,11,4,2,2,1,19 days,3,2017
2017-10-19,Cherry Creek,10,3,6,2,1,1,2,19 days,1,2017
2017-10-19,Cherry Creek,10,3,8,3,2,1,3,19 days,2,2017
2017-10-19,Cherry Creek,10,3,8,3,2,2,1,19 days,1,2017
2017-10-19,Cherry Creek,10,3,8,3,2,2,3,19 days,3,2017
2017-10-19,Cherry Creek,10,3,9,3,2,1,1,19 days,1,2017
2017-10-19,Cherry Creek,10,3,9,3,2,2,2,19 days,1,2017
2017-10-19,Cherry Creek,10,3,10,4,2,1,1,19 days,1,2017
2017-10-19,Cherry Creek,10,3,10,4,2,1,2,19 days,1,2017
2017-10-19,Cherry Creek,10,3,10,4,2,2,1,19 days,1,2017
2017-10-19,Cherry Creek,10,3,10,4,2,2,3,19 days,1,2017
2017-10-19,Cherry Creek,10,3,11,4,2,1,1,19 days,2,2017
2017-10-19,Cherry Creek,10,3,11,4,2,1,3,19 days,6,2017
2017-10-19,Cherry Creek,10,3,11,4,2,2,1,19 days,3,2017
2017-10-19,City Park,9,4,5,2,1,1,1,19 days,1,2017
2017-10-19,City Park,9,4,9,3,2,1,1,19 days,1,2017
2017-10-19,City Park,9,4,9,3,2,2,1,19 days,1,2017
2017-10-19,City Park,9,4,10,4,2,1,2,19 days,2,2017
2017-10-19,City Park,9,4,10,4,2,2,1,19 days,2,2017
2017-10-19,City Park,9,4,10,4,2,2,3,19 days,1,2017
2017-10-19,City Park,9,4,11,4,2,2,1,19 days,2,2017
2017-10-19,City Park West,9,4,2,1,1,2,1,19 days,1,2017
2017-10-19,City Park West,9,4,4,2,1,2,1,19 days,1,2017
2017-10-19,City Park West,9,4,5,2,1,1,3,19 days,1,2017
2017-10-19,City Park West,9,4,8,3,2,2,1,19 days,1,2017
2017-10-19,City Park West,9,4,10,4,2,1,1,19 days,2,2017
2017-10-19,City Park West,9,4,11,4,2,1,1,19 days,1,2017
2017-10-19,City Park West,9,4,11,4,2,2,1,19 days,1,2017
2017-10-19,Cole,9,4,5,2,1,1,1,19 days,2,2017
2017-10-19,College View / South Platte,7,2,5,2,1,2,1,19 days,1,2017
2017-10-19,College View / South Platte,7,2,7,3,2,1,1,19 days,1,2017
2017-10-19,College View / South Platte,7,2,9,3,2,2,1,19 days,1,2017
2017-10-19,College View / South Platte,7,2,11,4,2,1,1,19 days,2,2017
2017-10-19,College View / South Platte,7,2,11,4,2,2,1,19 days,1,2017
2017-10-19,Congress Park,10,3,2,1,1,1,2,19 days,1,2017
2017-10-19,Congress Park,10,3,3,1,1,1,1,19 days,1,2017
2017-10-19,Congress Park,10,3,3,1,1,2,1,19 days,1,2017
2017-10-19,Congress Park,10,3,4,2,1,2,1,19 days,1,2017
2017-10-19,Congress Park,10,3,4,2,1,2,2,19 days,1,2017
2017-10-19,Congress Park,10,3,5,2,1,1,1,19 days,1,2017
2017-10-19,Congress Park,10,3,6,2,1,1,1,19 days,1,2017
2017-10-19,Congress Park,10,3,7,3,2,1,1,19 days,3,2017
2017-10-19,Congress Park,10,3,7,3,2,1,2,19 days,1,2017
2017-10-19,Congress Park,10,3,7,3,2,2,1,19 days,1,2017
2017-10-19,Congress Park,10,3,8,3,2,2,1,19 days,1,2017
2017-10-19,Congress Park,10,3,9,3,2,1,1,19 days,1,2017
2017-10-19,Congress Park,10,3,9,3,2,2,1,19 days,1,2017
2017-10-19,Congress Park,10,3,9,3,2,2,2,19 days,1,2017
2017-10-19,Congress Park,10,3,10,4,2,1,2,19 days,2,2017
2017-10-19,Congress Park,10,3,11,4,2,1,1,19 days,2,2017
2017-10-19,Congress Park,10,3,11,4,2,1,2,19 days,1,2017
2017-10-19,Congress Park,10,3,11,4,2,2,1,19 days,1,2017
2017-10-19,Cory Merrill,6,1,6,2,1,1,3,19 days,1,2017
2017-10-19,Cory Merrill,6,1,9,3,2,1,1,19 days,1,2017
2017-10-19,Cory Merrill,6,1,9,3,2,1,3,19 days,1,2017
2017-10-19,Cory Merrill,6,1,9,3,2,2,2,19 days,2,2017
2017-10-19,Cory Merrill,6,1,10,4,2,1,1,19 days,1,2017
2017-10-19,Cory Merrill,6,1,10,4,2,2,1,19 days,1,2017
2017-10-19,Cory Merrill,6,1,11,4,2,1,2,19 days,1,2017
2017-10-19,Cory Merrill,6,1,11,4,2,2,3,19 days,1,2017
2017-10-19,Country Club,10,3,7,3,2,1,2,19 days,2,2017
2017-10-19,Country Club,10,3,7,3,2,2,2,19 days,1,2017
2017-10-19,Country Club,10,3,9,3,2,1,1,19 days,1,2017
2017-10-19,East Colfax,5,3,4,2,1,1,2,19 days,1,2017
2017-10-19,East Colfax,8,3,6,2,1,1,1,19 days,1,2017
2017-10-19,Elyria-Swansea,9,5,8,3,2,1,4,19 days,1,2017
2017-10-19,Elyria-Swansea,9,5,9,3,2,2,1,19 days,2,2017
2017-10-19,Five Points,9,3,8,3,2,1,1,19 days,2,2017
2017-10-19,Five Points,9,4,5,2,1,1,2,19 days,1,2017
2017-10-19,Five Points,9,4,9,3,2,1,1,19 days,1,2017
2017-10-19,Five Points,9,4,9,3,2,2,1,19 days,3,2017
2017-10-19,Five Points,9,4,10,4,2,1,1,19 days,1,2017
2017-10-19,Five Points,9,4,11,4,2,1,1,19 days,1,2017
2017-10-19,Five Points,9,4,11,4,2,2,1,19 days,1,2017
2017-10-19,Five Points,9,5,3,1,1,1,2,19 days,1,2017
2017-10-19,Five Points,9,5,3,1,1,1,3,19 days,1,2017
2017-10-19,Five Points,9,5,7,3,2,1,1,19 days,1,2017
2017-10-19,Gateway / Green Valley Ranch,11,4,3,1,1,1,2,19 days,1,2017
2017-10-19,Gateway / Green Valley Ranch,11,4,3,1,1,2,1,19 days,1,2017
2017-10-19,Gateway / Green Valley Ranch,11,4,4,2,1,1,2,19 days,1,2017
2017-10-19,Gateway / Green Valley Ranch,11,4,6,2,1,1,2,19 days,1,2017
2017-10-19,Gateway / Green Valley Ranch,11,4,6,2,1,2,1,19 days,1,2017
2017-10-19,Gateway / Green Valley Ranch,11,4,7,3,2,1,1,19 days,1,2017
2017-10-19,Gateway / Green Valley Ranch,11,4,8,3,2,1,4,19 days,1,2017
2017-10-19,Gateway / Green Valley Ranch,11,4,8,3,2,2,2,19 days,1,2017
2017-10-19,Gateway / Green Valley Ranch,11,4,9,3,2,1,2,19 days,1,2017
2017-10-19,Gateway / Green Valley Ranch,11,4,10,4,2,1,2,19 days,1,2017
2017-10-19,Gateway / Green Valley Ranch,11,4,10,4,2,1,3,19 days,1,2017
2017-10-19,Gateway / Green Valley Ranch,11,4,10,4,2,2,3,19 days,1,2017
2017-10-19,Gateway / Green Valley Ranch,11,4,11,4,2,1,1,19 days,2,2017
2017-10-19,Gateway / Green Valley Ranch,11,4,11,4,2,2,1,19 days,2,2017
2017-10-19,Gateway / Green Valley Ranch,11,4,11,4,2,2,2,19 days,1,2017
2017-10-19,Gateway / Green Valley Ranch,11,4,11,4,2,2,3,19 days,1,2017
2017-10-19,Globeville,9,5,10,4,2,1,1,19 days,1,2017
2017-10-19,Goldsmith,4,1,2,1,1,2,2,19 days,1,2017
2017-10-19,Goldsmith,4,1,6,2,1,1,1,19 days,1,2017
2017-10-19,Goldsmith,4,1,7,3,2,1,3,19 days,1,2017
2017-10-19,Goldsmith,4,1,9,3,2,1,2,19 days,1,2017
2017-10-19,Goldsmith,4,1,10,4,2,1,1,19 days,1,2017
2017-10-19,Goldsmith,4,1,10,4,2,2,2,19 days,1,2017
2017-10-19,Goldsmith,4,1,10,4,2,2,3,19 days,1,2017
2017-10-19,Goldsmith,4,1,11,4,2,1,3,19 days,1,2017
2017-10-19,Goldsmith,4,1,11,4,2,2,3,19 days,2,2017
2017-10-19,Hale,5,3,2,1,1,2,3,19 days,1,2017
2017-10-19,Hale,5,3,5,2,1,2,1,19 days,1,2017
2017-10-19,Hale,5,3,6,2,1,1,1,19 days,1,2017
2017-10-19,Hale,5,3,6,2,1,1,2,19 days,1,2017
2017-10-19,Hale,5,3,8,3,2,1,1,19 days,1,2017
2017-10-19,Hale,5,3,8,3,2,2,1,19 days,1,2017
2017-10-19,Hale,5,3,9,3,2,1,3,19 days,1,2017
2017-10-19,Hale,5,3,9,3,2,2,2,19 days,1,2017
2017-10-19,Hale,5,3,11,4,2,2,1,19 days,1,2017
2017-10-19,Hale,5,3,11,4,2,2,2,19 days,1,2017
2017-10-19,Hampden,4,1,2,1,1,2,3,19 days,1,2017
2017-10-19,Hampden,4,1,3,1,1,1,2,19 days,1,2017
2017-10-19,Hampden,4,1,7,3,2,2,3,19 days,1,2017
2017-10-19,Hampden,4,1,9,3,2,1,3,19 days,1,2017
2017-10-19,Hampden,4,1,11,4,2,1,2,19 days,1,2017
2017-10-19,Hampden South,4,1,3,1,1,2,2,19 days,1,2017
2017-10-19,Hampden South,4,1,3,1,1,2,3,19 days,1,2017
2017-10-19,Hampden South,4,1,5,2,1,1,1,19 days,1,2017
2017-10-19,Hampden South,4,1,5,2,1,1,2,19 days,1,2017
2017-10-19,Hampden South,4,1,9,3,2,2,2,19 days,1,2017
2017-10-19,Hampden South,4,1,10,4,2,2,1,19 days,1,2017
2017-10-19,Hampden South,4,1,11,4,2,1,3,19 days,1,2017
2017-10-19,Harvey Park,2,2,1,1,1,2,1,19 days,1,2017
2017-10-19,Harvey Park,2,2,3,1,1,1,1,19 days,1,2017
2017-10-19,Harvey Park,2,2,5,2,1,1,2,19 days,2,2017
2017-10-19,Harvey Park,2,2,7,3,2,1,3,19 days,1,2017
2017-10-19,Harvey Park,2,2,7,3,2,2,1,19 days,1,2017
2017-10-19,Harvey Park,2,2,8,3,2,1,1,19 days,1,2017
2017-10-19,Harvey Park,2,2,8,3,2,2,3,19 days,1,2017
2017-10-19,Harvey Park,2,2,9,3,2,1,1,19 days,1,2017
2017-10-19,Harvey Park,2,2,9,3,2,1,3,19 days,1,2017
